Date,Open,High,Low,Close,Adj Close,Volume
2020-11-21,24380.23633,24793.05469,24148.55273,24407.62305,24407.62305,51912633122
2020-11-22,24407.62305,24468.8125,23136.52539,24036.96484,24036.96484,54015035380
2020-11-23,24036.98438,24416.91406,23533.57422,24010.26172,24010.26172,55882080993
2020-11-24,24011.42969,25214.10547,23649.4668,24836.83789,24836.83789,66902714077
2020-11-25,24832.86719,25244.71094,24163.85156,24356.40234,24356.40234,56834304752
2020-11-26,24353.4375,24538.07617,21272.28711,22332.25586,22332.25586,79946354734
2020-11-27,22336.53906,22719.75391,21455.16406,22226.46484,22226.46484,50519583951
2020-11-28,22232.35352,23195.03516,21969.55859,23017.66797,23017.66797,42353805074
2020-11-29,23020.55273,23771.36719,22812.01563,23600.82617,23600.82617,40422929655
2020-11-30,23601.91602,25539.68945,23601.91602,25498.35547,25498.35547,62009987218
2020-12-01,25508.66602,25747.27539,23775,24319.79883,24319.79883,64196174178
2020-12-02,24318.17578,24989.98047,23745.83594,24803.39258,24803.39258,48296305533
2020-12-03,24809.63867,25198.32031,24462.52344,25023.03906,25023.03906,41089081929
2020-12-04,25025.05664,25098.61328,23907.16602,23905.9668,23905.9668,43302799617
2020-12-05,23904.20313,24494.91016,23765.88867,24486.96094,24486.96094,34827026978
2020-12-06,24486.89648,24784.58789,24159.25586,24726.68164,24726.68164,32330175298
2020-12-07,24724.13672,24811.22852,24245.91016,24572.38867,24572.38867,34437289562
2020-12-08,24572.25781,24658.36133,23413.57422,23481.02148,23481.02148,40617946500
2020-12-09,23480.6875,23894.64648,22947.4043,23800.70313,23800.70313,44153972690
2020-12-10,23799.91406,23799.91406,22837.88477,23272.4668,23272.4668,32551057406
2020-12-11,23271.11328,23275.36133,22506.5918,23059.64844,23059.64844,35650952530
2020-12-12,23049.96484,24162.91602,23047.32031,24014.90234,24014.90234,27781091045
2020-12-13,24018.87305,24752.93555,23926.36523,24409.37109,24409.37109,32453114181
2020-12-14,24412.06055,24629.35156,24264.83789,24561.12305,24561.12305,28679630291
2020-12-15,24561.47656,24780.16406,24357.65039,24658.50195,24658.50195,33960686567
2020-12-16,24660.71484,27343.26172,24516.09961,27166.02539,27166.02539,56611097927
2020-12-17,27163.16211,30071.2168,27062.55469,29036.4668,29036.4668,90882168158
2020-12-18,29038.54883,29604.58203,28589.08203,29589.86523,29589.86523,51649859211
2020-12-19,29583.34961,30802.07617,29191.51953,30525.81445,30525.81445,49219606506
2020-12-20,30515.5,30972.38672,29602.33398,30075.87109,30075.87109,48480802951
