Date,Short Volume,Total Volume
2016-07-01,75374,123418
2016-06-30,52322,100983
2016-06-29,62464,127634
2016-06-28,72097,117629
2016-06-27,96241,162335
2016-06-24,139733,276818
2016-06-23,67334,138016
2016-06-22,66119,113088
2016-06-21,48689,89588
2016-06-20,53522,112649
2016-06-17,140582,247892
2016-06-16,82953,149290
2016-06-15,37926,64507
2016-06-14,38343,78187
2016-06-13,47979,87237
2016-06-10,46796,92097
2016-06-09,34650,67200
2016-06-08,60434,114911
2016-06-07,33578,68445
2016-06-06,47006,84676
2016-06-03,60704,96155
2016-06-02,66109,115340
2016-06-01,33893,66639
2016-05-31,64391,114858
2016-05-27,82476,140197
2016-05-26,43137,81578
2016-05-25,59230,103238
2016-05-24,78672,155354
2016-05-23,41915,65417
2016-05-20,95445,172376
2016-05-19,48778,88589
2016-05-18,64833,108873
2016-05-17,75356,116920
2016-05-16,41988,76249
2016-05-13,67408,104989
2016-05-12,54966,87207
2016-05-11,66514,105699
2016-05-10,49207,91604
2016-05-09,58697,93708
2016-05-06,57679,123224
2016-05-05,51323,72744
2016-05-04,50807,88593
2016-05-03,53938,98037
2016-05-02,49989,103517
2016-04-29,112957,194087
2016-04-28,89704,188629
2016-04-27,139764,226873
2016-04-26,76852,161459
2016-04-25,120420,168162
2016-04-22,251509,417929
2016-04-21,136575,251974
2016-04-20,55365,102915
2016-04-19,98692,175546
2016-04-18,66313,118297
2016-04-15,73866,108995
2016-04-14,58340,95260
