Open,High,Low,Close,Volume
62554.65,66718.65,62404.31,66229.13,1.03E+11
66218.93,66615.98,64744.52,65537.27,66012729214
65532.43,70822.72,64735.27,70533.62,80134491885
70532.61,72546.87,68915.23,70772.35,85968905096
70733.3,73588.1,70233.78,72505.56,65395680020
72496.48,72516.46,61916.45,68363.29,1.16E+11
68360.27,68360.27,57144,61493.78,1.34E+11
61507.21,64520.53,59430.23,62195.54,79701250480
62200.23,64832.52,59404.52,59404.52,68754963834
59513.77,61433.89,56119.04,59028.47,4.47E+11
59034.85,61460.67,57659.61,58830.69,58477231516
58837.78,59503.18,55077.28,57312.2,67858612442
57339.79,62941.78,57279.02,62739.6,68124800841
62715.41,63379.47,59599.26,61132.9,60061230632
61179.43,66355.61,60996.54,64055.45,67455516449
64035.25,65472.57,60374.18,61573.38,66369604078
61530.09,62554.8,59059.33,61913.1,61531736668
61877.57,62191.38,59800.15,61894.22,43483998357
61902.19,64908.73,61902.19,64684.29,54491238686
64643.14,66221.77,62743.53,66138.41,61519046789
66171.88,69333.05,65842.58,69333.05,64385893801
69332.91,72341.11,67549.13,70691.19,72315613285
70633.93,72790.13,68631.52,72463.92,71169242207
72484.1,72659.03,69372.55,71526.08,69477382762
71540.16,76956.79,70137.54,76406.88,75691679676
76379.48,76849.56,73947.62,73947.62,54743072229
73904.12,75532.45,69073.73,69760.45,82877425555
69677.58,70708.83,66827.3,70684.33,74348765639
70710.37,73139.73,67991.52,72931.8,74650589489
72959.28,74799.64,67510.17,72297.91,69657744262
72287.3,74398.55,70790.18,73079.59,61452845363
73061.57,75189.61,72912.56,73038.24,63078420887
73033.58,73607.2,70178.12,72043.42,65054919294
72036.5,73010.12,67985.23,68277.85,70772492024
68255.96,70318.27,67118.07,68917.98,71053388158
68882.15,72027.77,66078.16,66392.34,88776672481
66332.56,67127.58,64011.23,65160.43,85697104132
65133.77,69541.94,65003.77,69541.94,71452584699
69542.26,71346.66,68413.87,70596.59,59614926392
70598.4,71385.88,69229.9,70416.7,60015851041
70413.12,73440.74,69597.1,72713.56,72556664754
72713.48,75013.95,72061.38,74365.91,68681497760
74381.8,75561.99,72744.52,74029.63,82324821486
74039.34,74954.75,73688.16,74156.38,77385550185
74160.23,75536.78,73795.59,74675.77,73850284730
74692.24,75588.66,72436.89,72436.89,74998990688
72438.09,74084.04,71889.61,73827.42,63764617037
73830.34,74959.83,72600.28,73942.95,76006802351
74085.74,74478.25,72337.81,73156.52,83044849885
73149.17,73900.93,70230.66,70708.54,95430332736
70772.84,73292.41,70487.05,73273.84,66652885189
73277.12,74058.05,72805.54,72978.66,58457110099
72989.65,76777.21,72720.18,74918.53,72970474029
74984.93,76168.13,74287.74,75463.91,58009982597
75427.54,76935.65,74704.84,75243.42,65111759443
75239.11,79895.73,75245.16,79598.41,87720760870
79623.85,81445.67,77085.69,78995.98,96948328929
78952.8,80052.29,77726.05,79437.88,76477329164
79368.23,79831.47,75262.2,77018.32,1.05E+11
76964.7,78268.41,75503,75906.36,82729666943
75928.95,76373.72,66081.83,70374.91,1.22E+11
70344.11,71803.61,68107.27,69788.23,81836928952
,,,,
71509.3,71556.76,71132.08,71477.76,84956340224
